,place,ym,gt_visit
160,(NHM)_SOUTH_KENSINGTON,2004_08,427512.0
161,(NHM)_SOUTH_KENSINGTON,2004_09,210593.0
162,(NHM)_SOUTH_KENSINGTON,2004_10,317890.0
163,(NHM)_SOUTH_KENSINGTON,2004_11,187125.0
164,(NHM)_SOUTH_KENSINGTON,2004_12,182573.0
165,(NHM)_SOUTH_KENSINGTON,2005_01,215146.0
166,(NHM)_SOUTH_KENSINGTON,2005_02,270586.0
167,(NHM)_SOUTH_KENSINGTON,2005_03,294295.0
169,(NHM)_TRING,2004_04,9423.0
170,(NHM)_TRING,2004_05,6232.0
171,(NHM)_TRING,2004_06,5827.0
172,(NHM)_TRING,2004_07,7152.0
173,(NHM)_TRING,2004_08,17176.0
174,(NHM)_TRING,2004_09,4984.0
175,(NHM)_TRING,2004_10,10256.0
176,(NHM)_TRING,2004_11,5636.0
177,(NHM)_TRING,2004_12,4998.0
178,(NHM)_TRING,2005_01,8716.0
179,(NHM)_TRING,2005_02,13558.0
180,(NHM)_TRING,2005_03,9780.0
182,ROYAL_MUSEUMS_GREENWICH,2004_04,159821.0
183,ROYAL_MUSEUMS_GREENWICH,2004_05,148925.0
184,ROYAL_MUSEUMS_GREENWICH,2004_06,146621.0
185,ROYAL_MUSEUMS_GREENWICH,2004_07,204320.0
186,ROYAL_MUSEUMS_GREENWICH,2004_08,198388.0
187,ROYAL_MUSEUMS_GREENWICH,2004_09,111112.0
188,ROYAL_MUSEUMS_GREENWICH,2004_10,113279.0
189,ROYAL_MUSEUMS_GREENWICH,2004_11,71910.0
190,ROYAL_MUSEUMS_GREENWICH,2004_12,73589.0
191,ROYAL_MUSEUMS_GREENWICH,2005_01,76891.0
192,ROYAL_MUSEUMS_GREENWICH,2005_02,85369.0
193,ROYAL_MUSEUMS_GREENWICH,2005_03,127753.0
195,NATIONAL_MUSEUMS_LIVERPOOL,2004_04,134962.0
196,NATIONAL_MUSEUMS_LIVERPOOL,2004_05,114058.0
197,NATIONAL_MUSEUMS_LIVERPOOL,2004_06,152568.0
198,NATIONAL_MUSEUMS_LIVERPOOL,2004_07,156014.0
199,NATIONAL_MUSEUMS_LIVERPOOL,2004_08,217766.0
200,NATIONAL_MUSEUMS_LIVERPOOL,2004_09,115817.0
201,NATIONAL_MUSEUMS_LIVERPOOL,2004_10,154486.0
202,NATIONAL_MUSEUMS_LIVERPOOL,2004_11,88077.0
203,NATIONAL_MUSEUMS_LIVERPOOL,2004_12,64161.0
204,NATIONAL_MUSEUMS_LIVERPOOL,2005_01,73868.0
205,NATIONAL_MUSEUMS_LIVERPOOL,2005_02,128157.0
206,NATIONAL_MUSEUMS_LIVERPOOL,2005_03,137656.0
208,SCIENCE_MUSEUM_GROUP_TOTAL,2004_04,328178.0
209,SCIENCE_MUSEUM_GROUP_TOTAL,2004_05,268237.0
210,SCIENCE_MUSEUM_GROUP_TOTAL,2004_06,325400.0
211,SCIENCE_MUSEUM_GROUP_TOTAL,2004_07,396297.0
212,SCIENCE_MUSEUM_GROUP_TOTAL,2004_08,495640.0
213,SCIENCE_MUSEUM_GROUP_TOTAL,2004_09,249896.0
214,SCIENCE_MUSEUM_GROUP_TOTAL,2004_10,416657.0
215,SCIENCE_MUSEUM_GROUP_TOTAL,2004_11,264468.0
216,SCIENCE_MUSEUM_GROUP_TOTAL,2004_12,243946.0
217,SCIENCE_MUSEUM_GROUP_TOTAL,2005_01,240784.0
218,SCIENCE_MUSEUM_GROUP_TOTAL,2005_02,357266.0
219,SCIENCE_MUSEUM_GROUP_TOTAL,2005_03,370374.0
221,NATIONAL_COAL_MINING_MUSEUM,2004_04,13710.0
222,NATIONAL_COAL_MINING_MUSEUM,2004_05,9812.0
223,NATIONAL_COAL_MINING_MUSEUM,2004_06,9392.0
224,NATIONAL_COAL_MINING_MUSEUM,2004_07,10946.0
225,NATIONAL_COAL_MINING_MUSEUM,2004_08,15462.0
226,NATIONAL_COAL_MINING_MUSEUM,2004_09,6748.0
227,NATIONAL_COAL_MINING_MUSEUM,2004_10,11798.0
228,NATIONAL_COAL_MINING_MUSEUM,2004_11,6235.0
229,NATIONAL_COAL_MINING_MUSEUM,2004_12,5869.0
230,NATIONAL_COAL_MINING_MUSEUM,2005_01,4432.0
231,NATIONAL_COAL_MINING_MUSEUM,2005_02,8788.0
232,NATIONAL_COAL_MINING_MUSEUM,2005_03,13361.0
234,SCIENCE_SOUTH_KENSINGTON,2004_04,170167.0
235,SCIENCE_SOUTH_KENSINGTON,2004_05,145864.0
236,SCIENCE_SOUTH_KENSINGTON,2004_06,173425.0
237,SCIENCE_SOUTH_KENSINGTON,2004_07,237277.0
238,SCIENCE_SOUTH_KENSINGTON,2004_08,267589.0
239,SCIENCE_SOUTH_KENSINGTON,2004_09,121510.0
240,SCIENCE_SOUTH_KENSINGTON,2004_10,210030.0
241,SCIENCE_SOUTH_KENSINGTON,2004_11,141702.0
242,SCIENCE_SOUTH_KENSINGTON,2004_12,147197.0
243,SCIENCE_SOUTH_KENSINGTON,2005_01,150350.0
244,SCIENCE_SOUTH_KENSINGTON,2005_02,189016.0
245,SCIENCE_SOUTH_KENSINGTON,2005_03,198098.0
247,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_04,55337.0
248,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_05,43371.0
249,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_06,42189.0
250,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_07,62513.0
251,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_08,68717.0
252,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_09,47199.0
253,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_10,65258.0
254,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_11,57009.0
255,SCIENCE_NATIONAL_MEDIA_MUSEUM,2004_12,51329.0
256,SCIENCE_NATIONAL_MEDIA_MUSEUM,2005_01,44656.0
257,SCIENCE_NATIONAL_MEDIA_MUSEUM,2005_02,54421.0
258,SCIENCE_NATIONAL_MEDIA_MUSEUM,2005_03,66992.0
260,SCIENCE_NATIONAL_RAILWAY,2004_04,87717.0
261,SCIENCE_NATIONAL_RAILWAY,2004_05,66105.0
262,SCIENCE_NATIONAL_RAILWAY,2004_06,93662.0
263,SCIENCE_NATIONAL_RAILWAY,2004_07,84170.0
264,SCIENCE_NATIONAL_RAILWAY,2004_08,140019.0
265,SCIENCE_NATIONAL_RAILWAY,2004_09,57552.0
266,SCIENCE_NATIONAL_RAILWAY,2004_10,82422.0
267,SCIENCE_NATIONAL_RAILWAY,2004_11,42453.0
268,SCIENCE_NATIONAL_RAILWAY,2004_12,32703.0
269,SCIENCE_NATIONAL_RAILWAY,2005_01,33264.0
270,SCIENCE_NATIONAL_RAILWAY,2005_02,94143.0
271,SCIENCE_NATIONAL_RAILWAY,2005_03,71196.0
278,SCIENCE_LOCOMOTION_SHILDON,2004_09,8455.0
279,SCIENCE_LOCOMOTION_SHILDON,2004_10,45263.0
280,SCIENCE_LOCOMOTION_SHILDON,2004_11,15670.0
281,SCIENCE_LOCOMOTION_SHILDON,2004_12,6336.0
282,SCIENCE_LOCOMOTION_SHILDON,2005_01,7857.0
283,SCIENCE_LOCOMOTION_SHILDON,2005_02,10607.0
284,SCIENCE_LOCOMOTION_SHILDON,2005_03,18422.0
299,SCIENCE_SWINDON_(WROUGHTON),2004_04,1247.0
300,SCIENCE_SWINDON_(WROUGHTON),2004_05,3085.0
301,SCIENCE_SWINDON_(WROUGHTON),2004_06,6732.0
302,SCIENCE_SWINDON_(WROUGHTON),2004_07,1391.0
303,SCIENCE_SWINDON_(WROUGHTON),2004_08,3853.0
304,SCIENCE_SWINDON_(WROUGHTON),2004_09,8432.0
305,SCIENCE_SWINDON_(WROUGHTON),2004_10,1886.0
306,SCIENCE_SWINDON_(WROUGHTON),2004_11,1399.0
307,SCIENCE_SWINDON_(WROUGHTON),2004_12,512.0
308,SCIENCE_SWINDON_(WROUGHTON),2005_01,225.0
309,SCIENCE_SWINDON_(WROUGHTON),2005_02,291.0
310,SCIENCE_SWINDON_(WROUGHTON),2005_03,2305.0
312,NATIONAL_PORTRAIT_GALLERY,2004_04,133680.0
313,NATIONAL_PORTRAIT_GALLERY,2004_05,141152.0
314,NATIONAL_PORTRAIT_GALLERY,2004_06,98638.0
315,NATIONAL_PORTRAIT_GALLERY,2004_07,128983.0
316,NATIONAL_PORTRAIT_GALLERY,2004_08,126555.0
317,NATIONAL_PORTRAIT_GALLERY,2004_09,101873.0
318,NATIONAL_PORTRAIT_GALLERY,2004_10,122797.0
319,NATIONAL_PORTRAIT_GALLERY,2004_11,107820.0
320,NATIONAL_PORTRAIT_GALLERY,2004_12,101770.0
321,NATIONAL_PORTRAIT_GALLERY,2005_01,119500.0
322,NATIONAL_PORTRAIT_GALLERY,2005_02,150051.0
323,NATIONAL_PORTRAIT_GALLERY,2005_03,136056.0
325,RA_TOTAL,2004_04,54545.0
326,RA_TOTAL,2004_05,22802.0
327,RA_TOTAL,2004_06,36170.0
328,RA_TOTAL,2004_07,33359.0
329,RA_TOTAL,2004_08,52780.0
330,RA_TOTAL,2004_09,32841.0
331,RA_TOTAL,2004_10,31230.0
332,RA_TOTAL,2004_11,16687.0
333,RA_TOTAL,2004_12,17915.0
334,RA_TOTAL,2005_01,15835.0
335,RA_TOTAL,2005_02,29947.0
336,RA_TOTAL,2005_03,40040.0
338,(RA)_LEEDS,2004_04,44030.0
339,(RA)_LEEDS,2004_05,17704.0
340,(RA)_LEEDS,2004_06,28473.0
341,(RA)_LEEDS,2004_07,25101.0
342,(RA)_LEEDS,2004_08,39851.0
343,(RA)_LEEDS,2004_09,22224.0
344,(RA)_LEEDS,2004_10,24919.0
345,(RA)_LEEDS,2004_11,13320.0
346,(RA)_LEEDS,2004_12,14019.0
347,(RA)_LEEDS,2005_01,13433.0
348,(RA)_LEEDS,2005_02,26067.0
349,(RA)_LEEDS,2005_03,32668.0
351,(RA)_FORT_NELSON,2004_04,10515.0
352,(RA)_FORT_NELSON,2004_05,5098.0
353,(RA)_FORT_NELSON,2004_06,7697.0
354,(RA)_FORT_NELSON,2004_07,8258.0
355,(RA)_FORT_NELSON,2004_08,12929.0
356,(RA)_FORT_NELSON,2004_09,10617.0
357,(RA)_FORT_NELSON,2004_10,6311.0
358,(RA)_FORT_NELSON,2004_11,3367.0
359,(RA)_FORT_NELSON,2004_12,3896.0
360,(RA)_FORT_NELSON,2005_01,2402.0
361,(RA)_FORT_NELSON,2005_02,3880.0
362,(RA)_FORT_NELSON,2005_03,7372.0
390,TATE_TOTAL,2004_04,460099.0
391,TATE_TOTAL,2004_05,451568.0
392,TATE_TOTAL,2004_06,548208.0
393,TATE_TOTAL,2004_07,668281.0
394,TATE_TOTAL,2004_08,726580.0
395,TATE_TOTAL,2004_09,470629.0
396,TATE_TOTAL,2004_10,562560.0
397,TATE_TOTAL,2004_11,466993.0
398,TATE_TOTAL,2004_12,389141.0
399,TATE_TOTAL,2005_01,380623.0
400,TATE_TOTAL,2005_02,537371.0
401,TATE_TOTAL,2005_03,630452.0
403,TATE_BRITAIN,2004_04,82215.0
404,TATE_BRITAIN,2004_05,63315.0
405,TATE_BRITAIN,2004_06,68627.0
406,TATE_BRITAIN,2004_07,94343.0
407,TATE_BRITAIN,2004_08,108577.0
408,TATE_BRITAIN,2004_09,72756.0
409,TATE_BRITAIN,2004_10,116482.0
410,TATE_BRITAIN,2004_11,114781.0
411,TATE_BRITAIN,2004_12,84652.0
412,TATE_BRITAIN,2005_01,70043.0
413,TATE_BRITAIN,2005_02,198868.0
414,TATE_BRITAIN,2005_03,241796.0
416,TATE_MODERN,2004_04,304991.0
417,TATE_MODERN,2004_05,319245.0
418,TATE_MODERN,2004_06,393766.0
419,TATE_MODERN,2004_07,468903.0
420,TATE_MODERN,2004_08,512807.0
421,TATE_MODERN,2004_09,320110.0
422,TATE_MODERN,2004_10,361295.0
423,TATE_MODERN,2004_11,308698.0
424,TATE_MODERN,2004_12,274409.0
425,TATE_MODERN,2005_01,274829.0
426,TATE_MODERN,2005_02,284615.0
427,TATE_MODERN,2005_03,323881.0
429,TATE_LIVERPOOL,2004_04,49335.0
430,TATE_LIVERPOOL,2004_05,48724.0
431,TATE_LIVERPOOL,2004_06,59449.0
432,TATE_LIVERPOOL,2004_07,71448.0
433,TATE_LIVERPOOL,2004_08,66815.0
434,TATE_LIVERPOOL,2004_09,50591.0
435,TATE_LIVERPOOL,2004_10,63366.0
436,TATE_LIVERPOOL,2004_11,36144.0
437,TATE_LIVERPOOL,2004_12,23081.0
438,TATE_LIVERPOOL,2005_01,29227.0
439,TATE_LIVERPOOL,2005_02,43807.0
440,TATE_LIVERPOOL,2005_03,49327.0
442,TATE_ST_IVES,2004_04,23558.0
443,TATE_ST_IVES,2004_05,20284.0
444,TATE_ST_IVES,2004_06,26366.0
445,TATE_ST_IVES,2004_07,33587.0
446,TATE_ST_IVES,2004_08,38381.0
447,TATE_ST_IVES,2004_09,27172.0
448,TATE_ST_IVES,2004_10,21417.0
449,TATE_ST_IVES,2004_11,7370.0
450,TATE_ST_IVES,2004_12,6999.0
451,TATE_ST_IVES,2005_01,6524.0
452,TATE_ST_IVES,2005_02,10081.0
453,TATE_ST_IVES,2005_03,15448.0
455,TYNE_&_WEAR_TOTAL,2004_04,161369.0
456,TYNE_&_WEAR_TOTAL,2004_05,116560.0
457,TYNE_&_WEAR_TOTAL,2004_06,166985.0
458,TYNE_&_WEAR_TOTAL,2004_07,162404.0
459,TYNE_&_WEAR_TOTAL,2004_08,225039.0
460,TYNE_&_WEAR_TOTAL,2004_09,147521.0
461,TYNE_&_WEAR_TOTAL,2004_10,137850.0
462,TYNE_&_WEAR_TOTAL,2004_11,97935.0
463,TYNE_&_WEAR_TOTAL,2004_12,100424.0
464,TYNE_&_WEAR_TOTAL,2005_01,75799.0
465,TYNE_&_WEAR_TOTAL,2005_02,124301.0
466,TYNE_&_WEAR_TOTAL,2005_03,157720.0
468,(T&W)_ARBEIA,2004_04,10500.0
469,(T&W)_ARBEIA,2004_05,11434.0
470,(T&W)_ARBEIA,2004_06,15254.0
471,(T&W)_ARBEIA,2004_07,8831.0
472,(T&W)_ARBEIA,2004_08,8519.0
473,(T&W)_ARBEIA,2004_09,10458.0
474,(T&W)_ARBEIA,2004_10,6552.0
475,(T&W)_ARBEIA,2004_11,6646.0
476,(T&W)_ARBEIA,2004_12,4000.0
477,(T&W)_ARBEIA,2005_01,2034.0
478,(T&W)_ARBEIA,2005_02,4635.0
479,(T&W)_ARBEIA,2005_03,9385.0
481,(T&W)_DISCOVERY,2004_04,37919.0
482,(T&W)_DISCOVERY,2004_05,22877.0
483,(T&W)_DISCOVERY,2004_06,41726.0
484,(T&W)_DISCOVERY,2004_07,42757.0
485,(T&W)_DISCOVERY,2004_08,70520.0
486,(T&W)_DISCOVERY,2004_09,32843.0
487,(T&W)_DISCOVERY,2004_10,41877.0
488,(T&W)_DISCOVERY,2004_11,25377.0
489,(T&W)_DISCOVERY,2004_12,26415.0
490,(T&W)_DISCOVERY,2005_01,28516.0
491,(T&W)_DISCOVERY,2005_02,42723.0
492,(T&W)_DISCOVERY,2005_03,54246.0
494,(T&W)_HANCOCK,2004_04,13687.0
495,(T&W)_HANCOCK,2004_05,3872.0
496,(T&W)_HANCOCK,2004_06,4228.0
497,(T&W)_HANCOCK,2004_07,6000.0
498,(T&W)_HANCOCK,2004_08,14027.0
499,(T&W)_HANCOCK,2004_09,7118.0
500,(T&W)_HANCOCK,2004_10,7971.0
501,(T&W)_HANCOCK,2004_11,4078.0
502,(T&W)_HANCOCK,2004_12,3818.0
503,(T&W)_HANCOCK,2005_01,2741.0
504,(T&W)_HANCOCK,2005_02,9294.0
505,(T&W)_HANCOCK,2005_03,10418.0
520,(T&W)_LAING,2004_04,28303.0
521,(T&W)_LAING,2004_05,23304.0
522,(T&W)_LAING,2004_06,30274.0
523,(T&W)_LAING,2004_07,23529.0
524,(T&W)_LAING,2004_08,24037.0
525,(T&W)_LAING,2004_09,27271.0
526,(T&W)_LAING,2004_10,27240.0
527,(T&W)_LAING,2004_11,22979.0
528,(T&W)_LAING,2004_12,24136.0
529,(T&W)_LAING,2005_01,15235.0
530,(T&W)_LAING,2005_02,24486.0
531,(T&W)_LAING,2005_03,24903.0
533,(T&W)_MONKWEARMOUTH,2004_04,3067.0
534,(T&W)_MONKWEARMOUTH,2004_05,1891.0
535,(T&W)_MONKWEARMOUTH,2004_06,3709.0
536,(T&W)_MONKWEARMOUTH,2004_07,3299.0
537,(T&W)_MONKWEARMOUTH,2004_08,5040.0
538,(T&W)_MONKWEARMOUTH,2004_09,2872.0
539,(T&W)_MONKWEARMOUTH,2004_10,3833.0
540,(T&W)_MONKWEARMOUTH,2004_11,2279.0
541,(T&W)_MONKWEARMOUTH,2004_12,2530.0
542,(T&W)_MONKWEARMOUTH,2005_01,1763.0
543,(T&W)_MONKWEARMOUTH,2005_02,2848.0
544,(T&W)_MONKWEARMOUTH,2005_03,3445.0
546,(T&W)_WASHINGTON,2004_04,31.0
547,(T&W)_WASHINGTON,2004_05,168.0
548,(T&W)_WASHINGTON,2004_06,171.0
549,(T&W)_WASHINGTON,2004_07,193.0
550,(T&W)_WASHINGTON,2004_08,131.0
551,(T&W)_WASHINGTON,2004_09,863.0
559,(T&W)_SEGEDUNUM,2004_04,3451.0
560,(T&W)_SEGEDUNUM,2004_05,3472.0
561,(T&W)_SEGEDUNUM,2004_06,5856.0
562,(T&W)_SEGEDUNUM,2004_07,4165.0
563,(T&W)_SEGEDUNUM,2004_08,5501.0
564,(T&W)_SEGEDUNUM,2004_09,4405.0
565,(T&W)_SEGEDUNUM,2004_10,5052.0
566,(T&W)_SEGEDUNUM,2004_11,3930.0
567,(T&W)_SEGEDUNUM,2004_12,1901.0
568,(T&W)_SEGEDUNUM,2005_01,2102.0
569,(T&W)_SEGEDUNUM,2005_02,3426.0
570,(T&W)_SEGEDUNUM,2005_03,5234.0
572,(T&W)_SHIPLEY,2004_04,2918.0
573,(T&W)_SHIPLEY,2004_05,2488.0
574,(T&W)_SHIPLEY,2004_06,3379.0
575,(T&W)_SHIPLEY,2004_07,3322.0
576,(T&W)_SHIPLEY,2004_08,4095.0
577,(T&W)_SHIPLEY,2004_09,3299.0
578,(T&W)_SHIPLEY,2004_10,2849.0
579,(T&W)_SHIPLEY,2004_11,3696.0
580,(T&W)_SHIPLEY,2004_12,4321.0
581,(T&W)_SHIPLEY,2005_01,2572.0
582,(T&W)_SHIPLEY,2005_02,3634.0
583,(T&W)_SHIPLEY,2005_03,4451.0
585,(T&W)_SOUTH_SHIELDS,2004_04,21926.0
586,(T&W)_SOUTH_SHIELDS,2004_05,12571.0
587,(T&W)_SOUTH_SHIELDS,2004_06,18809.0
588,(T&W)_SOUTH_SHIELDS,2004_07,21003.0
589,(T&W)_SOUTH_SHIELDS,2004_08,24211.0
590,(T&W)_SOUTH_SHIELDS,2004_09,15306.0
591,(T&W)_SOUTH_SHIELDS,2004_10,11089.0
592,(T&W)_SOUTH_SHIELDS,2004_11,7604.0
593,(T&W)_SOUTH_SHIELDS,2004_12,9652.0
594,(T&W)_SOUTH_SHIELDS,2005_01,5846.0
595,(T&W)_SOUTH_SHIELDS,2005_02,9854.0
596,(T&W)_SOUTH_SHIELDS,2005_03,12877.0
611,(T&W)_STEPHENSON,2004_04,334.0
612,(T&W)_STEPHENSON,2004_05,4085.0
613,(T&W)_STEPHENSON,2004_06,3790.0
614,(T&W)_STEPHENSON,2004_07,5399.0
615,(T&W)_STEPHENSON,2004_08,7519.0
616,(T&W)_STEPHENSON,2004_09,5828.0
617,(T&W)_STEPHENSON,2004_10,1912.0
618,(T&W)_STEPHENSON,2004_11,409.0
620,(T&W)_STEPHENSON,2005_01,228.0
621,(T&W)_STEPHENSON,2005_02,695.0
622,(T&W)_STEPHENSON,2005_03,908.0
624,(T&W)_SUNDERLAND,2004_04,27179.0
625,(T&W)_SUNDERLAND,2004_05,20746.0
626,(T&W)_SUNDERLAND,2004_06,30713.0
627,(T&W)_SUNDERLAND,2004_07,29780.0
628,(T&W)_SUNDERLAND,2004_08,39037.0
629,(T&W)_SUNDERLAND,2004_09,28357.0
630,(T&W)_SUNDERLAND,2004_10,22650.0
631,(T&W)_SUNDERLAND,2004_11,20843.0
632,(T&W)_SUNDERLAND,2004_12,23651.0
633,(T&W)_SUNDERLAND,2005_01,14573.0
634,(T&W)_SUNDERLAND,2005_02,22602.0
635,(T&W)_SUNDERLAND,2005_03,27674.0
637,(T&W)_MUSEUM_STORE,2004_04,12054.0
638,(T&W)_MUSEUM_STORE,2004_05,9652.0
639,(T&W)_MUSEUM_STORE,2004_06,9076.0
640,(T&W)_MUSEUM_STORE,2004_07,14126.0
641,(T&W)_MUSEUM_STORE,2004_08,22402.0
