,place,Year,month,gt_visit,ym
83,Badlands_NP_(BADL),2013,01,11882,2013_01
84,Bandelier_NM_(BAND),2016,01,7001,2016_01
85,Bandelier_NM_(BAND),2015,01,6590,2015_01
86,Bandelier_NM_(BAND),2014,01,4575,2014_01
87,Bandelier_NM_(BAND),2013,01,3181,2013_01
88,Bent's_Old_Fort_NHS_(BEOL),2016,01,650,2016_01
89,Bent's_Old_Fort_NHS_(BEOL),2015,01,368,2015_01
90,Bent's_Old_Fort_NHS_(BEOL),2014,01,417,2014_01
91,Bent's_Old_Fort_NHS_(BEOL),2013,01,589,2013_01
92,Bering_Land_Bridge_NPRES_(BELA),2016,01,260,2016_01
93,Bering_Land_Bridge_NPRES_(BELA),2015,01,260,2015_01
94,Bering_Land_Bridge_NPRES_(BELA),2014,01,260,2014_01
95,Bering_Land_Bridge_NPRES_(BELA),2013,01,260,2013_01
96,Big_Bend_NP_(BIBE),2016,01,36716,2016_01
97,Big_Bend_NP_(BIBE),2015,01,30297,2015_01
98,Big_Bend_NP_(BIBE),2014,01,28410,2014_01
99,Big_Bend_NP_(BIBE),2013,01,22986,2013_01
100,Big_Cypress_NPRES_(BICY),2016,01,112464,2016_01
101,Big_Cypress_NPRES_(BICY),2015,01,114045,2015_01
102,Big_Cypress_NPRES_(BICY),2014,01,127164,2014_01
103,Big_Cypress_NPRES_(BICY),2013,01,129114,2013_01
104,Big_Hole_NB_(BIHO),2016,01,390,2016_01
105,Big_Hole_NB_(BIHO),2015,01,420,2015_01
106,Big_Hole_NB_(BIHO),2014,01,283,2014_01
107,Big_Hole_NB_(BIHO),2013,01,276,2013_01
108,Big_South_Fork_NRRA_(BISO),2016,01,22228,2016_01
109,Big_South_Fork_NRRA_(BISO),2015,01,38700,2015_01
110,Big_South_Fork_NRRA_(BISO),2014,01,21485,2014_01
111,Big_South_Fork_NRRA_(BISO),2013,01,22561,2013_01
112,Big_Thicket_NPRES_(BITH),2016,01,5089,2016_01
113,Big_Thicket_NPRES_(BITH),2015,01,4792,2015_01
114,Big_Thicket_NPRES_(BITH),2014,01,5079,2014_01
115,Big_Thicket_NPRES_(BITH),2013,01,4180,2013_01
116,Bighorn_Canyon_NRA,2016,01,4933,2016_01
117,Bighorn_Canyon_NRA,2015,01,6234,2015_01
118,Bighorn_Canyon_NRA,2014,01,3957,2014_01
119,Bighorn_Canyon_NRA,2013,01,4642,2013_01
120,Biscayne_NP,2016,01,35755,2016_01
121,Biscayne_NP,2015,01,34409,2015_01
122,Biscayne_NP,2014,01,30437,2014_01
123,Biscayne_NP,2013,01,33790,2013_01
124,Black_Canyon_of_the_Gunnison_NP,2016,01,5510,2016_01
125,Black_Canyon_of_the_Gunnison_NP,2015,01,4600,2015_01
126,Black_Canyon_of_the_Gunnison_NP,2014,01,3469,2014_01
127,Black_Canyon_of_the_Gunnison_NP,2013,01,4046,2013_01
128,Blue_Ridge_PKWY,2016,01,450737,2016_01
129,Blue_Ridge_PKWY,2015,01,529823,2015_01
130,Blue_Ridge_PKWY,2014,01,372916,2014_01
131,Blue_Ridge_PKWY,2013,01,378631,2013_01
132,Bluestone_NSR,2016,01,78,2016_01
133,Bluestone_NSR,2015,01,46,2015_01
134,Bluestone_NSR,2014,01,100,2014_01
135,Bluestone_NSR,2013,01,100,2013_01
136,Booker_T._Washington_NM,2016,01,785,2016_01
137,Booker_T._Washington_NM,2015,01,1495,2015_01
138,Booker_T._Washington_NM,2014,01,659,2014_01
139,Booker_T._Washington_NM,2013,01,885,2013_01
140,Boston_African_American_NHS,2016,01,2719,2016_01
141,Boston_African_American_NHS,2015,01,2564,2015_01
142,Boston_African_American_NHS,2014,01,2450,2014_01
143,Boston_African_American_NHS,2013,01,3856,2013_01
144,Boston_NHP,2016,01,70940,2016_01
145,Boston_NHP,2015,01,65193,2015_01
146,Boston_NHP,2014,01,62099,2014_01
147,Boston_NHP,2013,01,70653,2013_01
148,Brown_v._Board_of_Education_NHS,2016,01,2147,2016_01
149,Brown_v._Board_of_Education_NHS,2015,01,1608,2015_01
150,Brown_v._Board_of_Education_NHS,2014,01,2349,2014_01
151,Brown_v._Board_of_Education_NHS,2013,01,1313,2013_01
152,Bryce_Canyon_NP,2016,01,24285,2016_01
153,Bryce_Canyon_NP,2015,01,21949,2015_01
154,Bryce_Canyon_NP,2014,01,18006,2014_01
155,Bryce_Canyon_NP,2013,01,15788,2013_01
156,Buck_Island_Reef_NM,2016,01,4537,2016_01
157,Buck_Island_Reef_NM,2015,01,4110,2015_01
158,Buck_Island_Reef_NM,2014,01,3665,2014_01
159,Buck_Island_Reef_NM,2013,01,3417,2013_01
160,Buffalo_NR,2016,01,29781,2016_01
161,Buffalo_NR,2015,01,29942,2015_01
162,Buffalo_NR,2014,01,34950,2014_01
163,Buffalo_NR,2013,01,37874,2013_01
164,Cabrillo_NM,2016,01,73243,2016_01
165,Cabrillo_NM,2015,01,82149,2015_01
166,Cabrillo_NM,2014,01,66601,2014_01
167,Cabrillo_NM,2013,01,72852,2013_01
168,Canaveral_NS,2016,01,102061,2016_01
169,Canaveral_NS,2015,01,108691,2015_01
170,Canaveral_NS,2014,01,78888,2014_01
171,Canaveral_NS,2013,01,77818,2013_01
172,Cane_River_Creole_NHP,2016,01,1169,2016_01
173,Cane_River_Creole_NHP,2015,01,1273,2015_01
174,Cane_River_Creole_NHP,2014,01,1508,2014_01
175,Cane_River_Creole_NHP,2013,01,1141,2013_01
176,Canyon_de_Chelly_NM,2016,01,2565,2016_01
177,Canyon_de_Chelly_NM,2015,01,54525,2015_01
178,Canyon_de_Chelly_NM,2014,01,54534,2014_01
179,Canyon_de_Chelly_NM,2013,01,54590,2013_01
180,Canyonlands_NP,2016,01,5051,2016_01
181,Canyonlands_NP,2015,01,6376,2015_01
182,Canyonlands_NP,2014,01,5182,2014_01
183,Canyonlands_NP,2013,01,3617,2013_01
184,Cape_Cod_NS,2016,01,112515,2016_01
185,Cape_Cod_NS,2015,01,101848,2015_01
186,Cape_Cod_NS,2014,01,110260,2014_01
187,Cape_Cod_NS,2013,01,121899,2013_01
188,Cape_Hatteras_NS,2016,01,56772,2016_01
189,Cape_Hatteras_NS,2015,01,60565,2015_01
190,Cape_Hatteras_NS,2014,01,36720,2014_01
191,Cape_Hatteras_NS,2013,01,53342,2013_01
192,Cape_Lookout_NS,2016,01,7350,2016_01
193,Cape_Lookout_NS,2015,01,7608,2015_01
194,Cape_Lookout_NS,2014,01,6773,2014_01
195,Cape_Lookout_NS,2013,01,14743,2013_01
196,Capitol_Reef_NP,2016,01,10714,2016_01
197,Capitol_Reef_NP,2015,01,9083,2015_01
198,Capitol_Reef_NP,2014,01,10548,2014_01
199,Capitol_Reef_NP,2013,01,5915,2013_01
200,Capulin_Volcano_NM,2016,01,1121,2016_01
201,Capulin_Volcano_NM,2015,01,1174,2015_01
202,Capulin_Volcano_NM,2014,01,1373,2014_01
203,Capulin_Volcano_NM,2013,01,1048,2013_01
204,Carl_Sandburg_Home_NHS,2016,01,3005,2016_01
205,Carl_Sandburg_Home_NHS,2015,01,5087,2015_01
206,Carl_Sandburg_Home_NHS,2014,01,3321,2014_01
207,Carl_Sandburg_Home_NHS,2013,01,4860,2013_01
208,Carlsbad_Caverns_NP,2016,01,13534,2016_01
209,Carlsbad_Caverns_NP,2015,01,11930,2015_01
210,Carlsbad_Caverns_NP,2014,01,16251,2014_01
211,Carlsbad_Caverns_NP,2013,01,13354,2013_01
212,Casa_Grande_Ruins_NM,2016,01,10310,2016_01
213,Casa_Grande_Ruins_NM,2015,01,9272,2015_01
214,Casa_Grande_Ruins_NM,2014,01,8076,2014_01
215,Casa_Grande_Ruins_NM,2013,01,8446,2013_01
216,Castillo_de_San_Marcos_NM,2016,01,63725,2016_01
217,Castillo_de_San_Marcos_NM,2015,01,66736,2015_01
218,Castillo_de_San_Marcos_NM,2014,01,52772,2014_01
219,Castillo_de_San_Marcos_NM,2013,01,55716,2013_01
220,Castle_Clinton_NM,2016,01,167938,2016_01
221,Castle_Clinton_NM,2015,01,160542,2015_01
222,Castle_Clinton_NM,2014,01,152656,2014_01
223,Castle_Clinton_NM,2013,01,0,2013_01
224,Catoctin_Mountain_Park,2016,01,7038,2016_01
225,Catoctin_Mountain_Park,2015,01,7335,2015_01
226,Catoctin_Mountain_Park,2014,01,5429,2014_01
227,Catoctin_Mountain_Park,2013,01,2256,2013_01
228,Cedar_Breaks_NM,2016,01,12540,2016_01
229,Cedar_Breaks_NM,2015,01,14269,2015_01
230,Cedar_Breaks_NM,2014,01,5598,2014_01
231,Cedar_Breaks_NM,2013,01,8390,2013_01
232,Cesar_E._Chavez_NM,2016,01,593,2016_01
233,Cesar_E._Chavez_NM,2015,01,520,2015_01
234,Cesar_E._Chavez_NM,2014,01,448,2014_01
235,Cesar_E._Chavez_NM,2013,01,526,2013_01
236,Chaco_Culture_NHP,2016,01,675,2016_01
237,Chaco_Culture_NHP,2015,01,681,2015_01
238,Chaco_Culture_NHP,2014,01,927,2014_01
239,Chaco_Culture_NHP,2013,01,531,2013_01
240,Chamizal_NMEM,2016,01,2320,2016_01
241,Chamizal_NMEM,2015,01,2287,2015_01
242,Chamizal_NMEM,2014,01,5576,2014_01
243,Chamizal_NMEM,2013,01,3264,2013_01
244,Channel_Islands_NP,2016,01,15710,2016_01
245,Channel_Islands_NP,2015,01,19847,2015_01
246,Channel_Islands_NP,2014,01,18927,2014_01
247,Channel_Islands_NP,2013,01,12800,2013_01
248,Charles_Pinckney_NHS,2016,01,2867,2016_01
249,Charles_Pinckney_NHS,2015,01,2781,2015_01
250,Charles_Pinckney_NHS,2014,01,2738,2014_01
251,Charles_Pinckney_NHS,2013,01,3407,2013_01
252,Chattahoochee_River_NRA,2016,01,147974,2016_01
253,Chattahoochee_River_NRA,2015,01,172186,2015_01
254,Chattahoochee_River_NRA,2014,01,164235,2014_01
255,Chattahoochee_River_NRA,2013,01,181678,2013_01
256,Chesapeake_&_Ohio_Canal_NHP,2016,01,163696,2016_01
257,Chesapeake_&_Ohio_Canal_NHP,2015,01,171828,2015_01
258,Chesapeake_&_Ohio_Canal_NHP,2014,01,197495,2014_01
259,Chesapeake_&_Ohio_Canal_NHP,2013,01,208480,2013_01
260,Chickamauga_&_Chattanooga_NMP,2016,01,62781,2016_01
261,Chickamauga_&_Chattanooga_NMP,2015,01,63229,2015_01
262,Chickamauga_&_Chattanooga_NMP,2014,01,59010,2014_01
263,Chickamauga_&_Chattanooga_NMP,2013,01,64661,2013_01
264,Chickasaw_NRA,2016,01,52404,2016_01
265,Chickasaw_NRA,2015,01,40854,2015_01
266,Chickasaw_NRA,2014,01,58289,2014_01
267,Chickasaw_NRA,2013,01,41837,2013_01
268,Chiricahua_NM,2016,01,4593,2016_01
269,Chiricahua_NM,2015,01,3942,2015_01
270,Chiricahua_NM,2014,01,3134,2014_01
271,Chiricahua_NM,2013,01,2547,2013_01
272,Christiansted_NHS,2016,01,10778,2016_01
273,Christiansted_NHS,2015,01,11440,2015_01
274,Christiansted_NHS,2014,01,9815,2014_01
275,Christiansted_NHS,2013,01,11193,2013_01
276,City_of_Rocks_NRES,2016,01,500,2016_01
277,City_of_Rocks_NRES,2015,01,500,2015_01
278,City_of_Rocks_NRES,2014,01,490,2014_01
279,City_of_Rocks_NRES,2013,01,440,2013_01
280,Clara_Barton_NHS,2016,01,0,2016_01
281,Clara_Barton_NHS,2015,01,288,2015_01
282,Clara_Barton_NHS,2014,01,854,2014_01
283,Clara_Barton_NHS,2013,01,1004,2013_01
284,Colonial_NHP,2016,01,136581,2016_01
285,Colonial_NHP,2015,01,137701,2015_01
286,Colonial_NHP,2014,01,136538,2014_01
287,Colonial_NHP,2013,01,119042,2013_01
288,Colorado_NM,2016,01,15101,2016_01
289,Colorado_NM,2015,01,21417,2015_01
290,Colorado_NM,2014,01,11440,2014_01
291,Colorado_NM,2013,01,8996,2013_01
292,Congaree_NP,2016,01,6850,2016_01
293,Congaree_NP,2015,01,3435,2015_01
294,Congaree_NP,2014,01,7994,2014_01
295,Congaree_NP,2013,01,10098,2013_01
296,Congaree_NP,2012,01,8132,2012_01
297,Coronado_NMEM,2016,01,8851,2016_01
298,Coronado_NMEM,2015,01,13012,2015_01
299,Coronado_NMEM,2014,01,10736,2014_01
300,Coronado_NMEM,2013,01,10882,2013_01
301,Cowpens_NB,2016,01,17084,2016_01
302,Cowpens_NB,2015,01,18215,2015_01
303,Cowpens_NB,2014,01,14760,2014_01
304,Cowpens_NB,2013,01,17238,2013_01
305,Crater_Lake_NP,2016,01,3112,2016_01
306,Crater_Lake_NP,2015,01,10489,2015_01
307,Crater_Lake_NP,2014,01,7501,2014_01
308,Crater_Lake_NP,2013,01,6325,2013_01
309,Craters_of_the_Moon_NM,2016,01,3931,2016_01
310,Craters_of_the_Moon_NM,2015,01,2414,2015_01
311,Craters_of_the_Moon_NM,2014,01,2895,2014_01
312,Craters_of_the_Moon_NM,2013,01,2215,2013_01
313,Cumberland_Gap_NHP,2016,01,34126,2016_01
314,Cumberland_Gap_NHP,2015,01,30438,2015_01
315,Cumberland_Gap_NHP,2014,01,47311,2014_01
316,Cumberland_Gap_NHP,2013,01,33053,2013_01
317,Curecanti_NRA,2016,01,17433,2016_01
318,Curecanti_NRA,2015,01,16524,2015_01
319,Curecanti_NRA,2014,01,17785,2014_01
320,Curecanti_NRA,2013,01,16960,2013_01
321,Cuyahoga_Valley_NP,2016,01,85195,2016_01
322,Cuyahoga_Valley_NP,2015,01,76795,2015_01
323,Cuyahoga_Valley_NP,2014,01,89704,2014_01
324,Cuyahoga_Valley_NP,2013,01,84333,2013_01
325,Dayton_Aviation_Heritage_NHP,2016,01,2228,2016_01
326,Dayton_Aviation_Heritage_NHP,2015,01,1432,2015_01
327,Dayton_Aviation_Heritage_NHP,2014,01,824,2014_01
328,Dayton_Aviation_Heritage_NHP,2013,01,1111,2013_01
329,De_Soto_NMEM,2016,01,21361,2016_01
330,De_Soto_NMEM,2015,01,59780,2015_01
331,De_Soto_NMEM,2014,01,29976,2014_01
332,De_Soto_NMEM,2013,01,32409,2013_01
333,Death_Valley_NP,2016,01,69229,2016_01
334,Death_Valley_NP,2015,01,79547,2015_01
335,Death_Valley_NP,2014,01,59718,2014_01
336,Death_Valley_NP,2013,01,60868,2013_01
337,Delaware_Water_Gap_NRA,2016,01,170887,2016_01
338,Delaware_Water_Gap_NRA,2015,01,149811,2015_01
339,Delaware_Water_Gap_NRA,2014,01,239793,2014_01
340,Delaware_Water_Gap_NRA,2013,01,263691,2013_01
341,Denali_NP_&_PRES,2016,01,500,2016_01
342,Denali_NP_&_PRES,2015,01,326,2015_01
343,Denali_NP_&_PRES,2014,01,396,2014_01
344,Denali_NP_&_PRES,2013,01,319,2013_01
345,Devils_Postpile_NM,2016,01,0,2016_01
346,Devils_Postpile_NM,2015,01,0,2015_01
347,Devils_Postpile_NM,2014,01,0,2014_01
348,Devils_Postpile_NM,2013,01,0,2013_01
349,San_Juan_NHS,2016,02,134978,2016_02
350,San_Juan_NHS,2015,02,118086,2015_02
351,San_Juan_NHS,2014,02,103523,2014_02
352,San_Juan_NHS,2013,02,120731,2013_02
353,Abraham_Lincoln_Birthplace_NHP_(ABLI),2016,02,5721,2016_02
354,Abraham_Lincoln_Birthplace_NHP_(ABLI),2015,02,2625,2015_02
355,Abraham_Lincoln_Birthplace_NHP_(ABLI),2014,02,4645,2014_02
356,Abraham_Lincoln_Birthplace_NHP_(ABLI),2013,02,3518,2013_02
357,Acadia_NP_(ACAD),2016,02,16530,2016_02
358,Acadia_NP_(ACAD),2015,02,10626,2015_02
359,Acadia_NP_(ACAD),2014,02,10258,2014_02
360,Acadia_NP_(ACAD),2013,02,9869,2013_02
361,Adams_NHP,2016,02,1528,2016_02
362,Adams_NHP,2015,02,153,2015_02
363,Adams_NHP,2014,02,171,2014_02
364,Adams_NHP,2013,02,549,2013_02
365,African_Burial_Ground_NM_(AFBG),2016,02,2146,2016_02
366,African_Burial_Ground_NM_(AFBG),2015,02,1829,2015_02
367,African_Burial_Ground_NM_(AFBG),2014,02,1662,2014_02
368,African_Burial_Ground_NM_(AFBG),2013,02,4533,2013_02
369,Agate_Fossil_Beds_NM,2016,02,161,2016_02
370,Agate_Fossil_Beds_NM,2015,02,114,2015_02
371,Agate_Fossil_Beds_NM,2014,02,102,2014_02
372,Agate_Fossil_Beds_NM,2013,02,92,2013_02
373,Alibates_Flint_Quarries_NM_(ALFL),2016,02,261,2016_02
374,Alibates_Flint_Quarries_NM_(ALFL),2015,02,145,2015_02
375,Alibates_Flint_Quarries_NM_(ALFL),2014,02,95,2014_02
376,Alibates_Flint_Quarries_NM_(ALFL),2013,02,63,2013_02
377,Allegheny_Portage_Railroad_NHS_(ALPO),2016,02,9399,2016_02
378,Allegheny_Portage_Railroad_NHS_(ALPO),2015,02,7036,2015_02
379,Allegheny_Portage_Railroad_NHS_(ALPO),2014,02,9938,2014_02
380,Allegheny_Portage_Railroad_NHS_(ALPO),2013,02,4601,2013_02
381,Amistad_NRA_(AMIS),2016,02,93562,2016_02
382,Amistad_NRA_(AMIS),2015,02,68422,2015_02
383,Amistad_NRA_(AMIS),2014,02,85032,2014_02
384,Amistad_NRA_(AMIS),2013,02,78386,2013_02
385,Andersonville_NHS_(ANDE),2016,02,8262,2016_02
386,Andersonville_NHS_(ANDE),2015,02,8624,2015_02
387,Andersonville_NHS_(ANDE),2014,02,8334,2014_02
388,Andersonville_NHS_(ANDE),2013,02,7749,2013_02
389,Andrew_Johnson_NHS,2016,02,1743,2016_02
390,Andrew_Johnson_NHS,2015,02,1252,2015_02
391,Andrew_Johnson_NHS,2014,02,1890,2014_02
392,Andrew_Johnson_NHS,2013,02,2095,2013_02
394,Aniakchak_NM_&_PRES_(ANIA),2015,02,0,2015_02
395,Aniakchak_NM_&_PRES_(ANIA),2014,02,0,2014_02
396,Aniakchak_NM_&_PRES_(ANIA),2013,02,0,2013_02
397,Antietam_NB_(ANTI),2016,02,7372,2016_02
398,Antietam_NB_(ANTI),2015,02,2404,2015_02
399,Antietam_NB_(ANTI),2014,02,4766,2014_02
400,Antietam_NB_(ANTI),2013,02,8836,2013_02
401,Apostle_Islands_NL_(APIS),2016,02,1803,2016_02
402,Apostle_Islands_NL_(APIS),2015,02,9818,2015_02
403,Apostle_Islands_NL_(APIS),2014,02,68392,2014_02
404,Apostle_Islands_NL_(APIS),2013,02,1848,2013_02
405,Appomattox_Court_House_NHP_(APCO),2016,02,4723,2016_02
406,Appomattox_Court_House_NHP_(APCO),2015,02,3497,2015_02
407,Appomattox_Court_House_NHP_(APCO),2014,02,3026,2014_02
408,Appomattox_Court_House_NHP_(APCO),2013,02,5075,2013_02
409,Arches_NP_(ARCH),2016,02,33200,2016_02
410,Arches_NP_(ARCH),2015,02,34255,2015_02
411,Arches_NP_(ARCH),2014,02,22559,2014_02
412,Arches_NP_(ARCH),2013,02,16426,2013_02
413,Arkansas_Post_NMEM_(ARPO),2016,02,1869,2016_02
414,Arkansas_Post_NMEM_(ARPO),2015,02,1359,2015_02
415,Arkansas_Post_NMEM_(ARPO),2014,02,1686,2014_02
416,Arkansas_Post_NMEM_(ARPO),2013,02,1741,2013_02
417,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016,02,65007,2016_02
418,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015,02,5207,2015_02
419,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014,02,12534,2014_02
420,Arlington_House_The_R.E._Lee_MEM_(ARHO),2013,02,23090,2013_02
421,Assateague_Island_NS_(ASIS),2016,02,50430,2016_02
422,Assateague_Island_NS_(ASIS),2015,02,31444,2015_02
423,Assateague_Island_NS_(ASIS),2014,02,36100,2014_02
424,Assateague_Island_NS_(ASIS),2013,02,31514,2013_02
425,Aztec_Ruins_NM_(AZRU),2016,02,1635,2016_02
426,Aztec_Ruins_NM_(AZRU),2015,02,1593,2015_02
427,Aztec_Ruins_NM_(AZRU),2014,02,1675,2014_02
428,Aztec_Ruins_NM_(AZRU),2013,02,830,2013_02
429,Badlands_NP_(BADL),2016,02,10921,2016_02
430,Badlands_NP_(BADL),2015,02,10942,2015_02
431,Badlands_NP_(BADL),2014,02,8671,2014_02
432,Badlands_NP_(BADL),2013,02,11033,2013_02
433,Bandelier_NM_(BAND),2016,02,8715,2016_02
434,Bandelier_NM_(BAND),2015,02,5417,2015_02
435,Bandelier_NM_(BAND),2014,02,4447,2014_02
436,Bandelier_NM_(BAND),2013,02,4037,2013_02
437,Bent's_Old_Fort_NHS_(BEOL),2016,02,982,2016_02
438,Bent's_Old_Fort_NHS_(BEOL),2015,02,681,2015_02
439,Bent's_Old_Fort_NHS_(BEOL),2014,02,494,2014_02
440,Bent's_Old_Fort_NHS_(BEOL),2013,02,531,2013_02
441,Bering_Land_Bridge_NPRES_(BELA),2016,02,127,2016_02
442,Bering_Land_Bridge_NPRES_(BELA),2015,02,127,2015_02
443,Bering_Land_Bridge_NPRES_(BELA),2014,02,127,2014_02
444,Bering_Land_Bridge_NPRES_(BELA),2013,02,127,2013_02
445,Big_Bend_NP_(BIBE),2016,02,44176,2016_02
446,Big_Bend_NP_(BIBE),2015,02,39199,2015_02
447,Big_Bend_NP_(BIBE),2014,02,24159,2014_02
448,Big_Bend_NP_(BIBE),2013,02,46573,2013_02
449,Big_Cypress_NPRES_(BICY),2016,02,141457,2016_02
450,Big_Cypress_NPRES_(BICY),2015,02,144112,2015_02
451,Big_Cypress_NPRES_(BICY),2014,02,133848,2014_02
452,Big_Cypress_NPRES_(BICY),2013,02,133314,2013_02
453,Big_Hole_NB_(BIHO),2016,02,432,2016_02
454,Big_Hole_NB_(BIHO),2015,02,496,2015_02
455,Big_Hole_NB_(BIHO),2014,02,304,2014_02
456,Big_Hole_NB_(BIHO),2013,02,438,2013_02
457,Big_South_Fork_NRRA_(BISO),2016,02,23051,2016_02
458,Big_South_Fork_NRRA_(BISO),2015,02,12965,2015_02
459,Big_South_Fork_NRRA_(BISO),2014,02,32785,2014_02
460,Big_South_Fork_NRRA_(BISO),2013,02,36709,2013_02
461,Big_Thicket_NPRES_(BITH),2016,02,6287,2016_02
462,Big_Thicket_NPRES_(BITH),2015,02,4162,2015_02
463,Big_Thicket_NPRES_(BITH),2014,02,3675,2014_02
464,Big_Thicket_NPRES_(BITH),2013,02,3846,2013_02
